iter	Passed	Remaining
1433	12557	75013
1434	12566	75002
1435	12575	74996
1436	12583	74984
1437	12590	74966
1438	12599	74957
1439	12608	74951
1440	12617	74945
1441	12628	74944
1442	12637	74940
1443	12645	74927
1444	12654	74919
1445	12662	74908
1446	12673	74908
1447	12681	74897
1448	12689	74885
1449	12700	74887
1450	12708	74876
1451	12715	74859
1452	12723	74845
1453	12732	74836
1454	12741	74830
1455	12749	74815
1456	12757	74802
1457	12765	74787
1458	12773	74778
1459	12781	74762
1460	12789	74749
1461	12797	74734
1462	12805	74723
1463	12812	74706
1464	12822	74704
1465	12837	74729
1466	12845	74718
1467	12853	74706
1468	12863	74705
1469	12873	74701
1470	12881	74689
1471	12889	74677
1472	12900	74680
1473	12910	74680
1474	12921	74682
1475	12930	74672
1476	12940	74673
1477	12950	74669
1478	12958	74659
1479	12969	74659
1480	12977	74651
1481	12987	74647
1482	12997	74646
1483	13006	74640
1484	13016	74638
1485	13027	74640
1486	13036	74633
1487	13046	74631
1488	13055	74625
1489	13067	74631
1490	13076	74627
1491	13085	74620
1492	13098	74631
1493	13107	74629
1494	13117	74625
1495	13128	74629
1496	13139	74630
1497	13148	74626
1498	13156	74612
1499	13165	74604
1500	13173	74592
1501	13181	74576
1502	13190	74568
1503	13198	74557
1504	13206	74543
1505	13215	74539
1506	13225	74536
1507	13234	74529
1508	13243	74518
1509	13250	74503
1510	13258	74490
1511	13267	74477
1512	13275	74466
1513	13283	74455
1514	13293	74449
1515	13301	74437
1516	13308	74420
1517	13317	74415
1518	13326	74403
1519	13335	74397
1520	13343	74384
1521	13351	74373
1522	13359	74359
1523	13368	74349
1524	13376	74340
1525	13385	74328
1526	13394	74320
1527	13402	74307
1528	13410	74297
1529	13422	74306
1530	13430	74295
1531	13439	74284
1532	13447	74273
1533	13456	74263
1534	13465	74258
1535	13475	74255
1536	13484	74247
1537	13493	74239
1538	13501	74227
1539	13510	74219
1540	13518	74208
1541	13528	74202
1542	13536	74191
1543	13545	74182
1544	13553	74172
1545	13561	74159
1546	13569	74146
1547	13578	74136
1548	13586	74124
1549	13594	74112
1550	13602	74100
1551	13611	74092
1552	13620	74085
1553	13630	74081
1554	13638	74069
1555	13647	74062
1556	13656	74051
1557	13665	74044
1558	13673	74035
1559	13681	74021
1560	13690	74013
1561	13699	74007
1562	13708	73998
1563	13716	73985
1564	13724	73974
1565	13734	73971
1566	13743	73962
1567	13751	73950
1568	13759	73938
1569	13768	73929
1570	13777	73920
1571	13785	73908
1572	13793	73897
1573	13802	73886
1574	13810	73875
1575	13819	73866
1576	13829	73862
1577	13836	73847
1578	13844	73832
1579	13853	73824
1580	13862	73821
1581	13870	73809
1582	13881	73807
1583	13890	73800
1584	13898	73788
1585	13906	73778
1586	13915	73768
1587	13924	73761
1588	13933	73752
1589	13941	73743
1590	13949	73729
1591	13959	73723
1592	13967	73713
1593	13976	73704
1594	13984	73693
1595	13993	73682
1596	14001	73673
1597	14010	73665
1598	14020	73660
1599	14029	73654
1600	14037	73642
1601	14045	73630
1602	14054	73621
1603	14062	73609
1604	14071	73601
1605	14079	73588
1606	14087	73577
1607	14095	73564
1608	14104	73554
1609	14113	73546
1610	14121	73536
1611	14130	73527
1612	14138	73514
1613	14146	73503
1614	14154	73490
1615	14162	73476
1616	14170	73465
1617	14178	73451
1618	14188	73446
1619	14196	73433
1620	14205	73428
1621	14219	73449
1622	14228	73440
1623	14237	73431
1624	14245	73420
1625	14254	73409
1626	14264	73406
1627	14280	73439
1628	14300	73487
1629	14309	73480
1630	14318	73470
1631	14325	73454
1632	14333	73442
1633	14342	73432
1634	14350	73419
1635	14358	73407
1636	14366	73393
1637	14374	73382
1638	14382	73371
1639	14390	73358
1640	14399	73346
1641	14408	73342
1642	14418	73338
1643	14426	73326
1644	14434	73315
1645	14444	73308
1646	14453	73302
1647	14462	73294
1648	14470	73284
1649	14479	73275
1650	14488	73268
1651	14496	73254
1652	14505	73247
1653	14514	73241
1654	14523	73230
1655	14531	73220
1656	14540	73210
1657	14548	73198
1658	14556	73186
1659	14564	73175
1660	14572	73163
1661	14581	73155
1662	14591	73150
1663	14599	73137
1664	14610	73138
1665	14618	73127
1666	14626	73115
1667	14635	73107
1668	14644	73101
1669	14654	73094
1670	14662	73082
1671	14670	73072
